state	from	to	time
6000000	Virginia	Tennessee	1.3150894794554016
6000000	Michigan	Iowa	0.08433270691435091
6000000	Virginia	Georgia	0.5576931365378017
6000000	Texas	Florida	8.70633659659493
6000000	Florida	Georgia	1.5459261636373336
6000000	Texas	Tennessee	1.2976214536718906
6000000	Virginia	Indiana	1.20416501844471
6000000	Texas	Michigan	2.499212707981024
6000000	Florida	Georgia	2.69632657814076
6000000	Florida	Texas	3.1323153847603473
6000000	Virginia	Texas	10.465153027245586
6000000	California	Indiana	3.740714397362555
6000000	Texas	Florida	15.8992160445472
6000000	Florida	Texas	7.5433213565770725
6000000	Texas	Florida	5.496246523560974
6000000	Virginia	Texas	1.4852295332007626
6000000	California	Indiana	2.474440361614397
6000000	Virginia	Texas	3.030406785202251
6000000	Texas	Virginia	2.6118092768172225
6000000	Virginia	Georgia	2.6043922125709904
6000000	Virginia	Texas	2.2614590647442068
6000000	Texas	Michigan	2.746531999736592
6000000	Florida	Georgia	2.9526706048566522
6000000	Texas	Florida	3.0666125550350065
6000000	California	Texas	2.0265079904502805
6000000	Arizona	California	75.48013518428797
6000000	Arizona	Texas	3.3551493087459914
6000000	Arizona	Texas	85.78551009737829
6000000	Washington	California	32.89138528224142
6000000	Texas	Virginia	4.014883467775343
6000000	Arizona	California	78.38177507443312
6000000	Arizona	Texas	63.79841962288116
6000000	Texas	Florida	63.25848188637826
6000000	Florida	Texas	41.9501019084305
6000000	Texas	Florida	33.56808162548854
6000000	Tennessee	Texas	51.05320743428968
6000000	Virginia	NewJersey	11.435309186029603
6000000	Texas	Virginia	4.383487937075305
6000000	California	Texas	3.86266241430096
6000000	Arizona	Texas	99.24365813517018
6000000	Texas	Florida	99.23554097525619
6000000	California	Washington	2.6686485535034676
6000000	Washington	Idaho	1.9474906646538623
6000000	Arizona	California	6.860614937023263
6000000	California	Texas	8.815104373019084
6000000	Texas	Florida	7.736128946445175
6000000	Texas	California	6.496021918447511
6000000	Washington	Virginia	16.487521264397333
6000000	California	Arizona	7.303533373795263
6000000	California	Arizona	8.418452458088131
6000000	California	Washington	34.55215045798392
6000000	California	Arizona	4.307390928544359
6000000	California	Texas	8.721789812130016
6000000	Texas	Florida	67.00525582844584
6000000	Florida	Texas	47.08157474965029
6000000	Texas	Tennessee	32.53370727286135
6000000	California	Arizona	20.76752082257984
6000000	Washington	California	36.357415363714644
6000000	California	Texas	5.809185466543582
6000000	Virginia	Texas	3.002519551340624
6000000	Virginia	Tennessee	3.9805472535876056
6000000	Arizona	California	115.81797801929483
6000000	California	Arizona	55.26283920528024
6000000	Arizona	California	51.998276663906196
6000000	California	Washington	46.544854182117334
6000000	Washington	California	26.062769722079157
6000000	Michigan	Washington	3.633471144496539
6000000	California	Washington	13.262557795713695
6000000	California	Arizona	65.88137887829402
6000000	Washington	Idaho	27.825387510773595
6000000	Virginia	Georgia	4.830596852175138
6000000	Indiana	Virginia	4.755402159301962
6000000	Virginia	NewJersey	1.8035261912469398
6000000	Michigan	Iowa	2.099370023354253
6000000	Tennessee	Virginia	14.127552010832051
6000000	Texas	Mississippi	2.1031425082154875
6000000	Texas	California	11.105662021888376
6000000	Florida	Texas	22.511333085784628
6000000	Texas	Tennessee	3.2422904820568514
6000000	Texas	Florida	71.16255645880388
6000000	Tennessee	Virginia	61.02137690058639
6000000	Virginia	Washington	33.531491102659785
6000000	Arizona	California	7.64601637678005
6000000	Texas	Florida	22.29075306679018
6000000	Texas	California	25.910246170452453
6000000	Indiana	Michigan	13.513558686419538
6000000	Arizona	California	123.69890221232467
6000000	California	Arizona	120.25230682147645
6000000	Arizona	California	118.25319085736966
